N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"82,700",200,-0.24%,100,"4,937,010","5,969,783",53.38,"14,454,281",19.86,9.99,
2,SK하이닉스,"120,000","1,000",-0.83%,"5,000","873,603","728,002",48.45,"2,959,691",17.14,9.53,
3,NAVER,"442,500","9,500",+2.19%,100,"726,866","164,263",56.56,"621,152",4.51,15.22,
4,카카오,"149,500",0,0.00%,100,"664,468","444,460",32.00,"1,932,858",217.61,2.70,
5,삼성전자우,"75,000",0,0.00%,100,"617,165","822,887",75.81,"930,672",18.01,N/A,
6,삼성바이오로직스,"916,000","13,000",+1.44%,"2,500","606,071","66,165",10.33,"155,435",228.43,N/A,
7,LG화학,"852,000","4,000",-0.47%,"5,000","601,447","70,592",47.30,"130,176",37.09,2.93,
8,삼성SDI,"772,000","27,000",+3.62%,"5,000","530,862","68,765",43.51,"384,005",75.62,4.54,
9,현대차,"223,500","1,500",-0.67%,"5,000","477,548","213,668",28.71,"307,358",27.05,2.04,
10,셀트리온,"270,500","1,000",+0.37%,"1,000","373,064","137,917",20.43,"287,425",62.06,16.68,
11,기아,"85,900","1,100",-1.26%,"5,000","348,207","405,363",33.42,"1,052,695",15.43,5.05,
12,POSCO,"343,500","3,000",-0.87%,"5,000","299,487","87,187",54.16,"297,209",13.42,3.61,
13,삼성물산,"145,500","1,000",+0.69%,100,"271,921","186,887",15.06,"263,887",17.33,3.81,
14,현대모비스,"278,000",0,0.00%,"5,000","263,525","94,793",35.64,"117,988",14.84,4.66,
15,LG전자,"158,000","2,000",-1.25%,"5,000","258,564","163,648",31.78,"414,415",14.72,13.23,
16,LG생활건강,"1,468,000","2,000",-0.14%,"5,000","229,275","15,618",45.39,"22,736",31.64,17.92,
17,SK텔레콤,"305,000","1,500",-0.49%,500,"219,783","72,060",46.53,"76,194",14.05,6.44,
18,SK이노베이션,"237,500","6,000",-2.46%,"5,000","219,606","92,466",22.72,"1,021,950",-22.46,-13.58,
19,KB금융,"52,200",500,-0.95%,"5,000","217,052","415,808",67.24,"676,541",5.43,8.53,
